Category,NPC/Facility,Location(s),Recipe / Method,Product,Required Skill(s),Materials,Item Type,Scope,Notes,Data Status,Source URL
Casting,Weaponsmith,Cayenne; Grand Cayman,Modified Heavy Gun Port,Modified Heavy Gun Port,Casting 13,Iron x40; Processed Lumber x1; Metal Work x1,Ship part,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Handicrafts,Shipyard Master,Ragusa,"Flat Deck, Medium Hull",Medium Flush Deck Style Hull,Handicrafts 4; Shipbuilding 9,Processed Lumber x1; Metal Work x1,Ship hull,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Handicrafts,Carpenter,Ragusa,Medium Mast,Middle Mast,Handicrafts 8,Iron x20; Processed Lumber x1; Improved Rope x1,Ship mast,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Handicrafts,Shipwright,The Azores,Process Lime,Caustic Lime,Handicrafts 5,Boulders x5,Material,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Handicrafts,Shipwright,Cayenne; Grand Cayman; Buenos Aires,Processed Lumber,Processed Lumber,Handicrafts 6,Lumber x30,Shipbuilding material,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Handicrafts,Shipyard Master,Ragusa,"Two Deck, Medium Hull",Medium 2-decked Hull,Handicrafts 4; Shipbuilding 10,Processed Lumber x1; Metal Work x1,Ship hull,Special Production (NPC-assisted),Special Production list,Confirmed in Special Production page,https://unchartedwaters.fandom.com/wiki/Special_Production
Linguistics,Durer,Lubeck,Make Germanic dict,Unknown output - Germanic dictionary,Linguistics 1,Western Books x1; Paper x3,Linguistics item,Basic NPC production,Source recipe page shows product as Unknown; output name needs in-game/item-page verification.,"Added in v2 validation - recipe confirmed, output unknown",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Linguistics
Linguistics,Durer,Lubeck,Make Germanic translation notes,Unknown output - Germanic translation notes,Linguistics 1,Western Books x1; Paper x1,Linguistics item,Basic NPC production,Source recipe page shows product as Unknown; output name needs in-game/item-page verification.,"Added in v2 validation - recipe confirmed, output unknown",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Linguistics
Linguistics,Shakespeare,London,Make Celtic Dictionary,Unknown output - Celtic dictionary,Linguistics 4,Paper x8; Graphite x2,Linguistics item,Basic NPC production,Source recipe page shows product as Unknown; output name needs in-game/item-page verification.,"Added in v2 validation - recipe confirmed, output unknown",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Linguistics
Linguistics,Shakespeare,London,Make Celtic translation notes,Unknown output - Celtic translation notes,Linguistics 4,Paper x2; Graphite x1,Linguistics item,Basic NPC production,Source recipe page shows product as Unknown; output name needs in-game/item-page verification.,"Added in v2 validation - recipe confirmed, output unknown",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Linguistics
Linguistics,Scholar,Trujillo,Make American dict,Unknown output - American dictionary,Linguistics 9,Maya Blue x5; Paper x15,Linguistics item,Basic NPC production,Source recipe page shows product as Unknown; output name needs in-game/item-page verification.,"Added in v2 validation - recipe confirmed, output unknown",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Linguistics
Linguistics,Scholar,Trujillo,Make American translation notes,Unknown output - American translation notes,Linguistics 9,Maya Blue x2; Paper x5,Linguistics item,Basic NPC production,Source recipe page shows product as Unknown; output name needs in-game/item-page verification.,"Added in v2 validation - recipe confirmed, output unknown",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Linguistics
Linguistics,Scholar,Calicut Archives,Make Indian Ocean dict,Unknown output - Indian Ocean dictionary,Linguistics 8,Indian Indigo Dye x4; Paper x12,Linguistics item,Basic NPC production,Source recipe page shows product as Unknown; output name needs in-game/item-page verification.,"Added in v2 validation - recipe confirmed, output unknown",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Linguistics
Linguistics,Scholar,Calicut Archives,Make Indian Ocean translation notes,Unknown output - Indian Ocean translation notes,Linguistics 8,Indian Indigo Dye x2; Paper x4,Linguistics item,Basic NPC production,Source recipe page shows product as Unknown; output name needs in-game/item-page verification.,"Added in v2 validation - recipe confirmed, output unknown",https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Linguistics
Storage,Shopkeeper,Amsterdam; Lisbon; London; Marseille; Seville; Venice,Fisherman Arts- Preservation Methods,Catalog entry - outputs not expanded,Storage 1~14,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Town Official,Salonika; Benghazi,Traveller's food procuring skill,Catalog entry - outputs not expanded,Storage 1~12,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Town Official,Veracruz,Mogul's memoir,Catalog entry - outputs not expanded,Storage 5~16,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,NPC / recipe acquisition,Merida,Dyeing secret,Catalog entry - outputs not expanded,Storage 5~13,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Craft shop,Amsterdam; Venice,Gift wrapped fine tributes (No.1),Catalog entry - outputs not expanded,Storage 6~8,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Item shop,Lisbon; Marseilles,Gift wrapped fine tributes (No.2),Catalog entry - outputs not expanded,Storage 6~8,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Item shop,London; Seville,Gift wrapped fine tributes (No.3),Catalog entry - outputs not expanded,Storage 6~8,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Trainer,London,Feeding pets - Beginners,Catalog entry - outputs not expanded,Storage 4~5,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Trainer,Seville,Procuring animals for bait,Catalog entry - outputs not expanded,Storage 7,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Trainer,Lisbon,Feeding pets - Expert,Catalog entry - outputs not expanded,Storage 8~14,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Shipwright,Riga,Shipbuilding/money chest,Catalog entry - outputs not expanded,Storage 12,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Factory Canning Machine,Factory / unknown acquisition on source,Factory Canning Machine,Catalog entry - outputs not expanded,Storage 6~17,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Record Keeper,Private Farm,Store master's secret notes,Catalog entry - outputs not expanded,Storage,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Storage,Chef,Private Farm,Chef's secret notes,Catalog entry - outputs not expanded,Storage,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman recipe family,Added because Recipe Books lists these as NPC/Townman Storage recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Alchemy,John Dee,London,John Dee's alchemy,Catalog entry - outputs not expanded,Alchemy 1~14,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman or facility recipe family,Added because Recipe Books lists these as Alchemy recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Alchemy,Paracelsus,Venice,Paracelsus' alchemy,Catalog entry - outputs not expanded,Alchemy 1~5,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman or facility recipe family,Added because Recipe Books lists these as Alchemy recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Alchemy,Transmutation Alchemy Equipment,Quarters,Sophia Awakening (Giza Recipes),Catalog entry - outputs not expanded,Alchemy 11,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman or facility recipe family,Added because Recipe Books lists these as Alchemy recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
Alchemy,Memorial Album / Paracelsus,Unknown / Memorial Album,Basic Alchemy-Secrets,Catalog entry - outputs not expanded,Alchemy 1~4,See recipe family / individual recipe page,Recipe family / multiple items,Normal NPC/Townman or facility recipe family,Added because Recipe Books lists these as Alchemy recipe families; individual item rows still need expansion from recipe pages.,"Added in v2 validation - catalog only, not item-expanded",https://unchartedwaters.fandom.com/wiki/Recipe_Books
