ItemName,ItemName_Japanese,ItemType,Bonus_Stats,Craft_Location,NPC_or_Facility,Materials,Skill_Rank,Contribution_Cost,Unlock_Conditions,Tradable_Bound,Notes,Data_Status,Source_URLs,Added_In_This_Version,Review_Priority
Venice Public Sailor Uniform,ヴェネツィア公用水夫服,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x60; Embroidery Thread x20; High-grade Dye x1,Sewing rank 12,Sewing contribution 200,"Royal Fleet achievements 2,000 points",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Sash Tunic,サッシュチュニック,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Embroidery Thread x50; Ethnic Clothing x40; Natal Indigo x10,Sewing rank 13,Sewing contribution 510,"Company colony population 3,200",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Leather Tunic,レザーチュニック,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Tanned Leather x8; Ethnic Clothing x15; Natal Indigo x10,Sewing rank 13,Sewing contribution 500,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Fur Tunic,ファーチュニック,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Eagle Feathers x20; High-grade Dye x3; Ethnic Clothing x40,Sewing rank 13,Sewing contribution 510,"Company colony population 3,200",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Batadecola,バタデコーラ,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Silk Fabric x20; Embroidery Thread x20; Mayan Blue x20,Sewing rank 13,Sewing contribution 400,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Colt,コルト,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Silk Fabric x20; Gold Thread x20; Mayan Blue x20,Sewing rank 13,Sewing contribution 400,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Mail & Surcoat,メイル＆サーコート,Body armor,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x30; Steel x20; High-grade Dye x5,Sewing rank 13,Sewing contribution 543,"Cumulative contribution total 10,046 according to PB note",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Poncho Dress,ポンチョドレス,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Leather Cord x40; Ethnic Clothing x10; Natal Indigo x10,Sewing rank 13,Sewing contribution 500,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Silk Gloves,シルクの手袋,Hand equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Silk Fabric x10; Gold Thread x15; Supreme Dye x3,Sewing rank 14,Sewing contribution 510,"Cumulative contribution total 6,790 according to PB note",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
American Beads (female),アメリカンビーズ（女性用）,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Leather Cord x50; High-grade Ruby x2; Ethnic Clothing x40,Sewing rank 14,Sewing contribution 550,"Company colony population 3,500",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
American Beads (male),アメリカンビーズ（男性用）,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Leather Cord x50; High-grade Ruby x2; Ethnic Clothing x20,Sewing rank 14,Sewing contribution 550,"Company colony population 3,500",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Warrior Feather,ウォーリアフェザー,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Leather Cord x50; Eagle Feathers x40; Ethnic Clothing x20,Sewing rank 14,Sewing contribution 580,"Company North American colony population 3,000",Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Poncho-style Huipil,ポンチョ風ウィピル,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Cotton Fabric x30; Embroidery Thread x30; Cochineal x20,Sewing rank 15,Sewing contribution 460,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Open Crown,オープンクラウン,Head equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Leather x10; Silk Fabric x15; High-grade Peacock Featherwork x2,Sewing rank 15,Sewing contribution 460,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Trenders Dress,トレンダーズドレス,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Lace x30; Embroidery Thread x20; Supreme Dye x5,Sewing rank 15,Sewing contribution 900,Trend Maker title,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Peacock Dress,孔雀のドレス,Body equipment,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Roberta / Chamber of Commerce,Indian Indigo x20; Silk Fabric x30; Supreme Peacock Featherwork x5,Sewing rank 16,Sewing contribution 490,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Pourpoint with Ruffles,ひだ付きプールポワン,Body equipment,Dye Trading +1; Accounts +2 according to Dye Trading boost page,Florence Chamber of Commerce / Florentine Recipe - Garment Maker,Garment Maker in Florence - Chamber of Commerce,Gold Thread x10; Pourpoint x1; Fine Velvet x5,Sewing rank 0 in Florentine recipe page,Sewing contribution 200,"World Clock: 15th century, phases 1 and 3",Not specified publicly,,Confirmed bonus + confirmed special recipe,https://unchartedwaters.fandom.com/wiki/Florentine_Recipe_-_Garment_Maker | https://w.atwiki.jp/wiki11_dol/pages/39.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,Normal
Houpelande,ウプランド / Houpelande,Body equipment,Bonus/stats need verification,Florence Chamber of Commerce / Florentine Recipe - Garment Maker,Garment Maker in Florence - Chamber of Commerce,Cotton Fabric x40; Exquisite Velvet x10; Fine Fur x10,Sewing rank 0 in Florentine recipe page,Sewing contribution 300,World Clock: 15th century phases 4-5; 16th century phase 1,Not specified publicly,,Recipe confirmed; bonus needs verification,https://unchartedwaters.fandom.com/wiki/Florentine_Recipe_-_Garment_Maker | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Vermeer's Turban,フェルメールのターバン,Head equipment,Dye Trading +1 in Dye Trading boost page; version caveat,Florence Chamber of Commerce / Florentine Recipe - Garment Maker,Garment Maker in Florence - Chamber of Commerce,Silk Cloth x5; Cotton Fabric x10; Lace x10,Sewing rank 0 in Florentine recipe page,Sewing contribution 380,World Clock: 17th century phase 2,Not specified publicly,,"Confirmed bonus + confirmed special recipe, version caveat",https://unchartedwaters.fandom.com/wiki/Florentine_Recipe_-_Garment_Maker | https://w.atwiki.jp/wiki11_dol/pages/39.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,Normal
Hunter's Outfit,狩人の服 / Hunter's Outfit,Body equipment,Bonus/stats need verification,Florence Chamber of Commerce / Florentine Recipe - Garment Maker,Garment Maker in Florence - Chamber of Commerce,Satin x30; Cotton Fabric x20; Suede x20,Sewing rank 0 in Florentine recipe page,Sewing contribution 400,World Clock: 15th century phases 3-4,Not specified publicly,,Recipe confirmed; bonus needs verification,https://unchartedwaters.fandom.com/wiki/Florentine_Recipe_-_Garment_Maker | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Cannon 12,キャノン砲12門,Ship cannon,Cannon ship stats need verification; great success can produce Masterwork Cannon 12,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x56; Cannon Shot x36; Steel x56,Casting rank 11,Casting contribution 174,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Masterwork Cannon 12,名匠キャノン砲12門,Ship cannon,Masterwork version produced by great success from Cannon 12; exact stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Great success from Cannon 12 recipe,Casting rank 11,Casting contribution 174,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Seraphim 12,セラフィム砲12門,Ship cannon,Cannon ship stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x62; Cannon Shot x34; Steel x60,Casting rank 11,Casting contribution 200,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Infernal 10,アンフェール砲10門,Ship cannon,Cannon ship stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x45; Cannon Shot x20; Steel x45,Casting rank 12,Casting contribution 190,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Caronade 12,カロネード砲12門,Ship cannon,Cannon ship stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x60; Cannon Shot x40; Steel x70,Casting rank 12,Casting contribution 190,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Hyperion 12,ハイペリエ砲12門,Ship cannon,Cannon ship stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x54; Cannon Shot x26; Steel x54,Casting rank 12,Casting contribution 200,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Famous Carpenter's Tools,名工の大工道具,Tool / ship repair consumable,Repairs ship durability in use; exact effect needs verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Iron x1; Lumber x1; White Ore x1,Casting rank 12,Casting contribution 60,,Not specified publicly,,Recipe confirmed; item effect needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Meteora 12,メテオーラ砲12門,Ship cannon,Cannon ship stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x50; Cannon Shot x36; Steel x54,Casting rank 13,Casting contribution 200,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Mortar 12,モーター砲12門,Ship cannon,Cannon ship stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x60; Cannon Shot x60; Iron x40,Casting rank 13,Casting contribution 200,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Badelaire,バデレール,Weapon,Bonus/stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Coal x20; Steel x40; Saber x1,Casting rank 13,Contribution not shown in retrieved line,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Schumine 12,シュミネ砲12門,Ship cannon,Cannon ship stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x62; Cannon Shot x36; Steel x62,Casting rank 14,Casting contribution 200,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Vulkan 12,ヴォルカン砲12門,Ship cannon,Cannon ship stats need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Bronze x62; Cannon Shot x36; Steel x62,Casting rank 14,Casting contribution 200,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
National Military Armoring,各国軍公用装材,Ship armoring / ship material,Ship armoring stats/effect need verification,Florence special production / Chamber of Commerce; can also appear via workshop artisan when special production is available,Zita / Chamber of Commerce,Iron-plated Armoring x1; Special Shipbuilding Permit x3; Special Ship Paint x2,Casting rank 18; Shipbuilding rank 18,Casting contribution 930,Recipe name changes by nation,Not specified publicly,,Recipe confirmed; ship-part stats need verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Special Ship Hold,特殊船倉,Ship material / special equipment,Ship Durability 10-30; Armour 0-2; Hold -6 to -2 according to Fandom item page,Storage NPC Production / Florence storage special-production candidate,Nadia / Storage NPC production,Lumber x30; Processed Lumber x1; Processed Iron x1,Storage rank 14,Storage contribution 630,,Not specified publicly,,Confirmed item stats; recipe source partially cross-checked,https://unchartedwaters.fandom.com/wiki/Special_Ship_Hold | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Yes,High
Hardened Iron Plate,硬化鉄板,Ship armor / additional armor,Ship armor stats need verification,Other NPC Special Production (no owned recipe book; craft from NPC listed),Cayenne Skilled Caster; Grand Cayman Skilled Caster,Steel x8; Iron Plating x1,Casting rank 13,No Florence contribution; NPC special production,,Not specified publicly,,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production,Yes,High
Modified Standard Gun Port,改良標準砲門,Ship part / gun port,Ship-part stats need verification,Other city NPC Special Production / Basic Casting,Antwerp/Bordeaux/Hamburg/Amsterdam Weaponsmith; Special Production page also lists Alexandria Weaponsmith,Lumber x30; Metal Work x1,Casting rank 9,No Florence contribution; NPC special production,,Not specified publicly,Added/updated from Basic Casting and Special Production pages; this is outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production | https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting,Audit_2026-05-13_v3_other_cities,Medium
Modified Heavy Gun Port,改良大型砲門,Ship part / gun port,Ship-part stats need verification,Other city NPC Special Production / Basic Casting,Trujillo/Cayenne/Grand Cayman Weaponsmith,Iron x40; Processed Lumber x1; Metal Work x1,Casting rank 13,No Florence contribution; NPC special production,,Not specified publicly,Added/updated from Basic Casting and Special Production pages; this is outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production | https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting,Audit_2026-05-13_v3_other_cities,Medium
Special Sea Mines,特殊機雷,Ship special weapon,Ship-part stats need verification,Other city NPC Special Production / Basic Casting,Portobelo Shipwright,Black-mud x10; Gunpowder x10; Lead x10,Casting rank 13,No Florence contribution; NPC special production,,Not specified publicly,Added/updated from Basic Casting and Special Production pages; this is outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production | https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Casting,Audit_2026-05-13_v3_other_cities,Medium
Superior Cannon 14,名匠/高級キャノン14?,Ship cannon,Same as regular Cannon(14) but fewer materials according to Special Production page; stats need verification,Other NPC Special Production (no owned recipe book; craft from NPC listed),Cayenne Skilled Caster; Grand Cayman Skilled Caster,Cannon x29; Cannon Shot x32; Steel x29,Casting rank 13,No Florence contribution; NPC special production,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production,Yes,High
Superior Carronade 14,高級カロネード14?,Ship cannon,Same as regular Carronade(14) but fewer materials according to Special Production page; stats need verification,Other NPC Special Production (no owned recipe book; craft from NPC listed),Cayenne Skilled Caster; Grand Cayman Skilled Caster,Cannon x34; Cannon Shot x36; Steel x34,Casting rank 14,No Florence contribution; NPC special production,,Not specified publicly,,Recipe confirmed; cannon stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production,Yes,High
Flat Deck Medium Hull,平甲板型中型船体,Ship hull part,Shipbuilding hull material; stats/effect need verification,Other NPC Special Production (no owned recipe book; craft from NPC listed),Ragusa Shipyard Master,Processed Lumber x1; Metal Work x1,Handicrafts rank 4; Shipbuilding rank 9,No Florence contribution; NPC special production,,Not specified publicly,,Recipe confirmed; shipbuilding material stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production,Yes,High
Two Deck Medium Hull,2層甲板型中型船体,Ship hull part,Shipbuilding hull material; stats/effect need verification,Other NPC Special Production (no owned recipe book; craft from NPC listed),Ragusa Shipyard Master,Processed Lumber x1; Metal Work x1,Handicrafts rank 4; Shipbuilding rank 10,No Florence contribution; NPC special production,,Not specified publicly,,Recipe confirmed; shipbuilding material stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production,Yes,High
Medium Mast,中マスト,Shipbuilding material,Ship-part stats need verification,Other city NPC Special Production / Basic Handicrafts,Ragusa Carpenter,Iron x20; Processed Lumber x1; Improved Rope x1,Handicrafts rank 8,No Florence contribution; NPC special production,,Not specified publicly,Added to cover non-Florence NPC production/tool/ship parts. Some are not +skill equipment but are special craft outputs.,Recipe confirmed; bonus/stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production | https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Handicrafts,Audit_2026-05-13_v3_other_cities,Medium
Camisa Ravalero,カミサ・ラバレロ,Body equipment,Collection +1 (confirmed by dbgames Collection skill page); other stats need verification,Other city NPC production / Basic Sewing / Special Production,Portobelo Shopkeeper,Mulberry x20; Hemp Fabric x30; Sewing Set x30,Sewing rank 12,No Florence contribution; NPC special production,,Not specified publicly,Bonus upgraded from verification-needed to confirmed based on the Collection skill equipment list.,Confirmed bonus + confirmed NPC special recipe,https://unchartedwaters.fandom.com/wiki/Special_Production | https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing | https://dbgames.info/uwo/skills/Collection,Audit_2026-05-13_v3_other_cities,High
Casco Panache,カスコ・パナシェ,Head equipment,Bonus/stats need verification,Other NPC Special Production (no owned recipe book; craft from NPC listed),Portobelo Shopkeeper,Feathers x30; Mayan Blue x20; Mulberry x20,Sewing rank 12,No Florence contribution; NPC special production,,Not specified publicly,,Recipe confirmed; bonus needs verification,https://unchartedwaters.fandom.com/wiki/Special_Production,Yes,High
Superior Bonnet & Sail,改良ボンネット＆ステイスル,Ship sail,Same as regular item but requires fewer materials; exact ship stats need verification,Other city NPC Special Production / Basic Sewing,Grand Cayman Skilled Tailor; Trujillo/similar skilled tailor recipe,Hemp Fabric x41; Iron x25; Lumber x25,Sewing rank 7,No Florence contribution; NPC special production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production | https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing,Audit_2026-05-13_v3_other_cities,Medium
Superior Staysail & Sail,改良ステイスル＆スル,Ship sail,Same as regular item but requires fewer materials; exact ship stats need verification,Other city NPC Special Production / Basic Sewing,Grand Cayman Skilled Tailor; Trujillo/similar skilled tailor recipe,Hemp Fabric x21; Iron x1; Lumber x1,Sewing rank 10,No Florence contribution; NPC special production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production | https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing,Audit_2026-05-13_v3_other_cities,Medium
Superior Full Rigged Sail,改良フルリグドセイル,Ship sail,Same as regular item but requires fewer materials; exact ship stats need verification,Other city NPC Special Production / Basic Sewing,Grand Cayman Skilled Tailor; Trujillo/similar skilled tailor recipe,Hemp Fabric x49; Iron x32; Lumber x32,Sewing rank 15,No Florence contribution; NPC special production,,Not specified publicly,Added from Basic Sewing and/or Special Production pages; outside Florence/Chamber list.,Recipe confirmed; ship-part stats need verification,https://unchartedwaters.fandom.com/wiki/Special_Production | https://unchartedwaters.fandom.com/wiki/NPC_Productions/Basic/Sewing,Audit_2026-05-13_v3_other_cities,Medium
Knight's Stiletto,騎士のスティレット,Weapon - dagger,Attack 50; Durability 65; fame 5000; Casting +1; Swordplay +1,Florence special production / Chamber of Commerce / legacy Florentine casting recipe,Casting artisan / Chamber of Commerce (legacy Florence recipe); Zita not explicitly listed for this old recipe,Coal x4; Steel x6; Stiletto x1,"Casting: listed as 0 / no skill needed in Florence; outside Florence, matching production skill is needed",Casting contribution 500,World Clock: 16th century periods 3-5,Not specified publicly,Official Florence system says these recipes are used by talking to Chamber/workshop NPCs; no production skill is needed when crafting in Florence. This was missing from the prior file; user specifically noticed it.,Confirmed bonus + confirmed special recipe,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=573 | https://w.atwiki.jp/wiki11_dol/pages/47.html | https://w.atwiki.jp/wiki11_dol/pages/61.html | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,Critical
Cinquedea,チンクエディア,Weapon - sword/dagger,Attack 33; Durability 50; fame 9800; Swordplay +1,Florence special production / Chamber of Commerce,Florence special production / exact NPC not resolved in retrieved source,Materials not found in retrieved public source; needs in-game recipe tooltip check,Casting 13 listed by boost source; no skill needed when crafted directly in Florence,Cumulative Florence contribution 20709 mentioned by source; exact contribution cost not retrieved,Florence / cumulative contribution requirement noted,Not specified publicly,"Added as a confirmed Florence-produced booster from skill-boost source, but materials remain unresolved.",Confirmed bonus; recipe/materials need verification,https://w.atwiki.jp/wiki11_dol/pages/61.html | https://dbgames.info/uwo/skills/Swordplay | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,High
Chain Gloves / unknown output,鎖でできたグローブ製法,Hand equipment candidate,Bonus not found; recipe product unresolved in GVDB line,Florence special production / Chamber of Commerce,Zita / Chamber of Commerce,Leather Cord x30; Gold x5; Processed Iron x1,Casting 10; no skill needed when crafted in Florence,Casting contribution 580,None found,Not specified publicly,GVDB confirms a Florence/Zita recipe but lists finished product as unknown; included so it is not lost during manual verification.,Candidate: product/bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4104 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,Medium
Renaissance Dress / unknown output,ルネサンスドレスの仕立て,Body equipment candidate,Bonus not found; recipe product unresolved in GVDB line,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,High-grade Clothes x12; Silk Fabric x15; Embroidery Thread x30,Sewing 11; no skill needed when crafted in Florence,Sewing contribution 340,None found,Not specified publicly,GVDB confirms a Florence/Roberta recipe but lists finished product as unknown; included for in-game verification.,Candidate: product/bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,Medium
Admiral Outfit / unknown output,提督服の縫製法,Body equipment candidate,Bonus not found; recipe product unresolved in GVDB line,Florence special production / Chamber of Commerce,Roberta / Chamber of Commerce,Woolen Fabric x30; Corduroy x30; Embroidery Thread x30,Sewing 11; no skill needed when crafted in Florence,Sewing contribution 340,None found,Not specified publicly,GVDB confirms a Florence/Roberta recipe but lists finished product as unknown; included for in-game verification.,Candidate: product/bonus needs verification,https://gvdb.mydns.jp/db/module/TradeDB/action/ItemShow?id=4101 | https://www.gamecity.ne.jp/dol/tierra_americana/chapter1_3.htm,Audit_2026-05-13,Medium
